"input_taxon","input_status","family","genus","hybrid_marker","species","infraspecific_rank","infraspecific","authority","taxonomic_status","taxa","duplicated"
"Convallaria majalis","Accepted","Asparagaceae","Convallaria","","majalis","","","L.","Accepted","Convallaria  majalis  ",FALSE
"Cornus sanguinea","Accepted","Cornaceae","Cornus","","sanguinea","","","L.","Accepted","Cornus  sanguinea  ",FALSE
"Corydalis cava","Accepted","Papaveraceae","Corydalis","","cava","","","(L.) Schweigg. & Körte","Accepted","Corydalis  cava  ",TRUE
"Corydalis lutea","Synonym","Papaveraceae","Pseudofumaria","","lutea","","","(L.) Borkh.","Accepted","Pseudofumaria  lutea  ",FALSE
"Corydalis pumila","Accepted","Papaveraceae","Corydalis","","pumila","","","(Host) Rchb.","Accepted","Corydalis  pumila  ",FALSE
"Corydalis solida","Accepted","Papaveraceae","Corydalis","","solida","","","(L.) Clairv.","Accepted","Corydalis  solida  ",FALSE
"Corylus avellana","Accepted","Betulaceae","Corylus","","avellana","","","L.","Accepted","Corylus  avellana  ",FALSE
"Crocus vernus","Accepted","Iridaceae","Crocus","","vernus","","","(L.) Hill","Accepted","Crocus  vernus  ",FALSE
"Cydonia oblonga","Accepted","Rosaceae","Cydonia","","oblonga","","","Mill.","Accepted","Cydonia  oblonga  ",FALSE
"Cymbalaria muralis","Accepted","Plantaginaceae","Cymbalaria","","muralis","","","P.Gaertn., B.Mey. & Scherb.","Accepted","Cymbalaria  muralis  ",FALSE
"Cynoglossum officinale","Accepted","Boraginaceae","Cynoglossum","","officinale","","","L.","Accepted","Cynoglossum  officinale  ",TRUE
"Daphne laureola","Accepted","Thymelaeaceae","Daphne","","laureola","","","L.","Accepted","Daphne  laureola  ",FALSE
"Daphne mezereum","Accepted","Thymelaeaceae","Daphne","","mezereum","","","L.","Accepted","Daphne  mezereum  ",FALSE
"Datura stramonium","Accepted","Solanaceae","Datura","","stramonium","","","L.","Accepted","Datura  stramonium  ",FALSE
"Dianthus barbatus","Accepted","Caryophyllaceae","Dianthus","","barbatus","","","L.","Accepted","Dianthus  barbatus  ",FALSE
"Digitalis purpurea","Accepted","Plantaginaceae","Digitalis","","purpurea","","","L.","Accepted","Digitalis  purpurea  ",FALSE
"Dipsacus fullonum","Accepted","Caprifoliaceae","Dipsacus","","fullonum","","","L.","Accepted","Dipsacus  fullonum  ",TRUE
"Doronicum pardalianches","Accepted","Compositae","Doronicum","","pardalianches","","","L.","Accepted","Doronicum  pardalianches  ",FALSE
"Eranthis hyemalis","Accepted","Ranunculaceae","Eranthis","","hyemalis","","","(L.) Salisb.","Accepted","Eranthis  hyemalis  ",FALSE
"Euphorbia cyparissias","Accepted","Euphorbiaceae","Euphorbia","","cyparissias","","","L.","Accepted","Euphorbia  cyparissias  ",FALSE
"Euphorbia dulcis","Accepted","Euphorbiaceae","Euphorbia","","dulcis","","","L.","Accepted","Euphorbia  dulcis  ",FALSE
"Euphorbia esula","Accepted","Euphorbiaceae","Euphorbia","","esula","","","L.","Accepted","Euphorbia  esula  ",FALSE
"Euphorbia lathyris","Accepted","Euphorbiaceae","Euphorbia","","lathyris","","","L.","Accepted","Euphorbia  lathyris  ",FALSE
"Fragaria moschata","Accepted","Rosaceae","Fragaria","","moschata","","","(Duchesne) Duchesne","Accepted","Fragaria  moschata  ",FALSE
"Fritillaria imperialis","Accepted","Liliaceae","Fritillaria","","imperialis","","","L.","Accepted","Fritillaria  imperialis  ",FALSE
"Fritillaria meleagris","Accepted","Liliaceae","Fritillaria","","meleagris","","","L.","Accepted","Fritillaria  meleagris  ",FALSE
"Fumaria officinalis","Accepted","Papaveraceae","Fumaria","","officinalis","","","L.","Accepted","Fumaria  officinalis  ",TRUE
"Galanthus nivalis","Accepted","Amaryllidaceae","Galanthus","","nivalis","","","L.","Accepted","Galanthus  nivalis  ",FALSE
"Galega officinalis","Accepted","Leguminosae","Galega","","officinalis","","","L.","Accepted","Galega  officinalis  ",FALSE
"Geranium phaeum","Accepted","Geraniaceae","Geranium","","phaeum","","","L.","Accepted","Geranium  phaeum  ",FALSE
"Geranium pratense","Accepted","Geraniaceae","Geranium","","pratense","","","L.","Accepted","Geranium  pratense  ",FALSE
"Geranium sanguineum","Accepted","Geraniaceae","Geranium","","sanguineum","","","L.","Accepted","Geranium  sanguineum  ",FALSE
"Geranium sylvatica","Accepted","Geraniaceae","Geranium","","sylvaticum","","","L.","Accepted","Geranium  sylvaticum  ",FALSE
"Helleborus foetidus","Accepted","Ranunculaceae","Helleborus","","foetidus","","","L.","Accepted","Helleborus  foetidus  ",TRUE
"Helleborus viridis","Accepted","Ranunculaceae","Helleborus","","viridis","","","L.","Accepted","Helleborus  viridis  ",FALSE
"Hesperis matronalis","Accepted","Brassicaceae","Hesperis","","matronalis","","","L.","Accepted","Hesperis  matronalis  ",FALSE
"Hippophae rhamnoides","Synonym","Elaeagnaceae","Elaeagnus","","rhamnoides","","","(L.) A.Nelson","Accepted","Elaeagnus  rhamnoides  ",FALSE
"Humulus lupulus","Accepted","Cannabaceae","Humulus","","lupulus","","","L.","Accepted","Humulus  lupulus  ",TRUE
"Hyoscyamus niger","Accepted","Solanaceae","Hyoscyamus","","niger","","","L.","Accepted","Hyoscyamus  niger  ",TRUE
"Hyssopus officinalis","Accepted","Lamiaceae","Hyssopus","","officinalis","","","L.","Accepted","Hyssopus  officinalis  ",TRUE
"Ilex aquifolium","Accepted","Aquifoliaceae","Ilex","","aquifolium","","","L.","Accepted","Ilex  aquifolium  ",FALSE
"Inula britannica","Accepted","Compositae","Inula","","britannica","","","L.","Accepted","Inula  britannica  ",FALSE
"Inula helenium","Accepted","Compositae","Inula","","helenium","","","L.","Accepted","Inula  helenium  ",TRUE
"Iris germanica","Accepted","Iridaceae","Iris","×","germanica","","","L.","Accepted","Iris × germanica  ",FALSE
"Isatis tinctoria","Accepted","Brassicaceae","Isatis","","tinctoria","","","L.","Accepted","Isatis  tinctoria  ",FALSE
"Lamiastrum galeobdolon","Synonym","Lamiaceae","Lamium","","galeobdolon","","","(L.) L.","Accepted","Lamium  galeobdolon  ",FALSE
"Lamium album","Accepted","Lamiaceae","Lamium","","album","","","L.","Accepted","Lamium  album  ",FALSE
"Lathyrus latifolius","Accepted","Leguminosae","Lathyrus","","latifolius","","","L.","Accepted","Lathyrus  latifolius  ",FALSE
"Lathyrus tuberosus","Accepted","Leguminosae","Lathyrus","","tuberosus","","","L.","Accepted","Lathyrus  tuberosus  ",FALSE
"Leonurus cardiaca s. str.","Accepted","Lamiaceae","Leonurus","","cardiaca","","","L.","Accepted","Leonurus  cardiaca  ",TRUE
"Leonurus marrubiastrum","Synonym","Lamiaceae","Chaiturus","","marrubiastrum","","","(L.) Ehrh. ex Rchb.","Accepted","Chaiturus  marrubiastrum  ",FALSE
"Lepidium latifolium","Accepted","Brassicaceae","Lepidium","","latifolium","","","L.","Accepted","Lepidium  latifolium  ",FALSE
"Leucojum aestivum","Accepted","Amaryllidaceae","Leucojum","","aestivum","","","L.","Accepted","Leucojum  aestivum  ",FALSE
"Leucojum vernum","Accepted","Amaryllidaceae","Leucojum","","vernum","","","L.","Accepted","Leucojum  vernum  ",TRUE
"Levisticum officinale","Accepted","Apiaceae","Levisticum","","officinale","","","W.D.J.Koch","Accepted","Levisticum  officinale  ",FALSE
"Lilium bulbiferum","Accepted","Liliaceae","Lilium","","bulbiferum","","","L.","Accepted","Lilium  bulbiferum  ",FALSE
"Lilium candidum","Accepted","Liliaceae","Lilium","","candidum","","","L.","Accepted","Lilium  candidum  ",FALSE
"Lilium martagon","Accepted","Liliaceae","Lilium","","martagon","","","L.","Accepted","Lilium  martagon  ",FALSE
"Lithospermum officinale","Accepted","Boraginaceae","Lithospermum","","officinale","","","L.","Accepted","Lithospermum  officinale  ",FALSE
"Lonicera xylosteum","Accepted","Caprifoliaceae","Lonicera","","xylosteum","","","L.","Accepted","Lonicera  xylosteum  ",FALSE
"Lunaria annua","Accepted","Brassicaceae","Lunaria","","annua","","","L.","Accepted","Lunaria  annua  ",FALSE
"Lunaria rediviva","Accepted","Brassicaceae","Lunaria","","rediviva","","","L.","Accepted","Lunaria  rediviva  ",FALSE
"Lychnis chalcedonica","Synonym","Caryophyllaceae","Silene","","chalcedonica","","","(L.) E.H.L.Krause","Accepted","Silene  chalcedonica  ",FALSE
"Lycium barbarum","Accepted","Solanaceae","Lycium","","barbarum","","","L.","Accepted","Lycium  barbarum  ",FALSE
"Lysimachia nummularia","Accepted","Primulaceae","Lysimachia","","nummularia","","","L.","Accepted","Lysimachia  nummularia  ",FALSE
"Lysimachia punctata","Accepted","Primulaceae","Lysimachia","","punctata","","","L.","Accepted","Lysimachia  punctata  ",FALSE
"Malus sylvestris","Accepted","Rosaceae","Malus","","sylvestris","","","(L.) Mill.","Accepted","Malus  sylvestris  ",FALSE
"Malva moschata","Accepted","Malvaceae","Malva","","moschata","","","L.","Accepted","Malva  moschata  ",FALSE
"Malva neglecta","Accepted","Malvaceae","Malva","","neglecta","","","Wallr.","Accepted","Malva  neglecta  ",FALSE
"Malva pusilla","Accepted","Malvaceae","Malva","","pusilla","","","Sm.","Accepted","Malva  pusilla  ",FALSE
"Malva sylvestris","Accepted","Malvaceae","Malva","","sylvestris","","","L.","Accepted","Malva  sylvestris  ",FALSE
"Marrubium vulgare","Accepted","Lamiaceae","Marrubium","","vulgare","","","L.","Accepted","Marrubium  vulgare  ",TRUE
"Matteuccia struthiopteris","Accepted","Onocleaceae","Matteuccia","","struthiopteris","","","(L.) Tod.","Accepted","Matteuccia  struthiopteris  ",FALSE
"Melissa officinalis","Accepted","Lamiaceae","Melissa","","officinalis","","","L.","Accepted","Melissa  officinalis  ",TRUE
"Mentha pulegium","Accepted","Lamiaceae","Mentha","","pulegium","","","L.","Accepted","Mentha  pulegium  ",FALSE
"Mentha spicata","Accepted","Lamiaceae","Mentha","","spicata","","","L.","Accepted","Mentha  spicata  ",TRUE
"Mentha suaveolens","Accepted","Lamiaceae","Mentha","","suaveolens","","","Ehrh.","Accepted","Mentha  suaveolens  ",FALSE
"Mentha x gentilis","Accepted","Lamiaceae","Mentha","×","gentilis","","","L.","Accepted","Mentha × gentilis  ",FALSE
"Mentha x piperita","Accepted","Lamiaceae","Mentha","×","piperita","","","L.","Accepted","Mentha × piperita  ",FALSE
"Mentha x piperita var crispula","Synonym","Lamiaceae","Mentha","×","piperita","","","L.","Accepted","Mentha × piperita  ",TRUE
"Mentha x villosa","Accepted","Lamiaceae","Mentha","×","villosa","","","Huds.","Accepted","Mentha × villosa  ",FALSE
"Mentha x villosonervata","","","Mentha","","villosonervata",NA,"","","","Mentha  villosonervata",FALSE
"Muscari botryoides","Accepted","Asparagaceae","Muscari","","botryoides","","","(L.) Mill.","Accepted","Muscari  botryoides  ",FALSE
"Myosotis sylvatica","Accepted","Boraginaceae","Myosotis","","sylvatica","","","Hoffm.","Accepted","Myosotis  sylvatica  ",FALSE
"Myrrhis odorata","Accepted","Apiaceae","Myrrhis","","odorata","","","(L.) Scop.","Accepted","Myrrhis  odorata  ",TRUE
"Narcissus poeticus var recurvus","Synonym","Amaryllidaceae","Narcissus","","poeticus","","","L.","Accepted","Narcissus  poeticus  ",FALSE
"Narcissus pseudonarcissus var silvestris","Accepted","Amaryllidaceae","Narcissus","","pseudonarcissus","","","L.","Accepted","Narcissus  pseudonarcissus  ",FALSE
"Nasturtium microphyllum","Accepted","Brassicaceae","Nasturtium","","microphyllum","","","(Boenn. ex Rchb.) Rchb.","Accepted","Nasturtium  microphyllum  ",FALSE
"Nasturtium officinalis","Accepted","Brassicaceae","Nasturtium","","officinale","","","R.Br.","Accepted","Nasturtium  officinale  ",FALSE
"Nepeta cataria","Accepted","Lamiaceae","Nepeta","","cataria","","","L.","Accepted","Nepeta  cataria  ",FALSE
"Nicotiana rustica","Accepted","Solanaceae","Nicotiana","","rustica","","","L.","Accepted","Nicotiana  rustica  ",FALSE
"Oenothera biennis","Accepted","Onagraceae","Oenothera","","biennis","","","L.","Accepted","Oenothera  biennis  ",FALSE
"Onopordum acanthium","Accepted","Compositae","Onopordum","","acanthium","","","L.","Accepted","Onopordum  acanthium  ",FALSE
"Origanum vulgare","Accepted","Lamiaceae","Origanum","","vulgare","","","L.","Accepted","Origanum  vulgare  ",FALSE
"Ornithogalum nutans","Accepted","Asparagaceae","Ornithogalum","","nutans","","","L.","Accepted","Ornithogalum  nutans  ",TRUE
"Ornithogalum umbellatum","Accepted","Asparagaceae","Ornithogalum","","umbellatum","","","L.","Accepted","Ornithogalum  umbellatum  ",FALSE
"Paeonia officinalis","Accepted","Paeoniaceae","Paeonia","","officinalis","","","L.","Accepted","Paeonia  officinalis  ",FALSE
"Papaver rhoeas","Accepted","Papaveraceae","Papaver","","rhoeas","","","L.","Accepted","Papaver  rhoeas  ",FALSE
"Papaver somniferum","Accepted","Papaveraceae","Papaver","","somniferum","","","L.","Accepted","Papaver  somniferum  ",TRUE
"Parietaria officinalis","Accepted","Urticaceae","Parietaria","","officinalis","","","L.","Accepted","Parietaria  officinalis  ",FALSE
"Paris quadrifolia","Accepted","Melanthiaceae","Paris","","quadrifolia","","","L.","Accepted","Paris  quadrifolia  ",FALSE
"Pastinaca sativa","Accepted","Apiaceae","Pastinaca","","sativa","","","L.","Accepted","Pastinaca  sativa  ",FALSE
"Petasites albus","Accepted","Compositae","Petasites","","albus","","","(L.) Gaertn.","Accepted","Petasites  albus  ",FALSE
"Petasites hybridus","Accepted","Compositae","Petasites","","hybridus","","","(L.) ""G.Gaertn., B.Mey. & Scherb.""","Accepted","Petasites  hybridus  ",FALSE
"Petroselinum crispum var. vulgare","Synonym","Apiaceae","Petroselinum","","crispum","","","(Mill.) Fuss","Accepted","Petroselinum  crispum  ",FALSE
"Peucedanum ostruthium","Accepted","Apiaceae","Peucedanum","","ostruthium","","","(L.) W.D.J.Koch","Accepted","Peucedanum  ostruthium  ",TRUE
"Phyllitis scolopendrium","Synonym","Aspleniaceae","Asplenium","","scolopendrium","","","L.","Accepted","Asplenium  scolopendrium  ",FALSE
"Physalis alkekengi","Accepted","Solanaceae","Physalis","","alkekengi","","","L.","Accepted","Physalis  alkekengi  ",FALSE
"Polemonium caeruleum","Accepted","Polemoniaceae","Polemonium","","caeruleum","","","L.","Accepted","Polemonium  caeruleum  ",TRUE
"Polygonatum multiflorum","Accepted","Asparagaceae","Polygonatum","","multiflorum","","","(L.) All.","Accepted","Polygonatum  multiflorum  ",FALSE
"Polygonum bistorta","Synonym","Polygonaceae","Persicaria","","bistorta","","","(L.) Samp.","Accepted","Persicaria  bistorta  ",FALSE
"Primula elatior","Accepted","Primulaceae","Primula","","elatior","","","(L.) Hill","Accepted","Primula  elatior  ",FALSE
"Primula veris","Accepted","Primulaceae","Primula","","veris","","","L.","Accepted","Primula  veris  ",FALSE
"Primula vulgaris","Accepted","Primulaceae","Primula","","vulgaris","","","Huds.","Accepted","Primula  vulgaris  ",FALSE
"Prunus avium","Accepted","Rosaceae","Prunus","","avium","","","(L.) L.","Accepted","Prunus  avium  ",FALSE
"Prunus cerasus","Accepted","Rosaceae","Prunus","","cerasus","","","L.","Accepted","Prunus  cerasus  ",FALSE
"Prunus domestica ssp. insititia","Accepted","Rosaceae","Prunus","","domestica","subsp.","insititia","(L.) Bonnier & Layens","Accepted","Prunus  domestica subsp. insititia",FALSE
"Prunus padus","Accepted","Rosaceae","Prunus","","padus","","","L.","Accepted","Prunus  padus  ",FALSE
"Pulmonaria obscura","Accepted","Boraginaceae","Pulmonaria","","obscura","","","Dumort.","Accepted","Pulmonaria  obscura  ",FALSE
"Reseda luteola","Accepted","Resedaceae","Reseda","","luteola","","","L.","Accepted","Reseda  luteola  ",FALSE
"Ribes nigrum","Accepted","Grossulariaceae","Ribes","","nigrum","","","L.","Accepted","Ribes  nigrum  ",FALSE
"Ribes rubrum ssp. sylvestre","Synonym","Grossulariaceae","Ribes","","spicatum","","","Robson","Accepted","Ribes  spicatum  ",FALSE
"Ribes uva-crispa","Accepted","Grossulariaceae","Ribes","","uva-crispa","","","L.","Accepted","Ribes  uva-crispa  ",FALSE
"Rosa majalis var. foecundissima","Synonym","Rosaceae","Rosa","","majalis","","","Herrm.","Accepted","Rosa  majalis  ",FALSE
"Rosa pimpinellifolia","Synonym","Rosaceae","Rosa","","xanthina","","","Lindl.","Accepted","Rosa  xanthina  ",FALSE
"Rosa x alba","Synonym","Rosaceae","Rosa","","alba","","","L.","Accepted","Rosa  alba  ",FALSE
"Rubus fruticosus","Synonym","Rosaceae","Rubus","","vestitus","","","Weihe","Accepted","Rubus  vestitus  ",FALSE
"Rubus idaeus","Accepted","Rosaceae","Rubus","","idaeus","","","L.","Accepted","Rubus  idaeus  ",FALSE
"Rumex x longifolius","Accepted","Polygonaceae","Rumex","","longifolius","","","DC.","Accepted","Rumex  longifolius  ",FALSE
"Rumex obtusifolius","Accepted","Polygonaceae","Rumex","","obtusifolius","","","L.","Accepted","Rumex  obtusifolius  ",FALSE
"Sambucus ebulus","Accepted","Adoxaceae","Sambucus","","ebulus","","","L.","Accepted","Sambucus  ebulus  ",FALSE
"Sambucus nigra","Accepted","Adoxaceae","Sambucus","","nigra","","","L.","Accepted","Sambucus  nigra  ",FALSE
"Sanguisorba minor ssp. minor","Synonym","Rosaceae","Sanguisorba","","minor","","","Scop.","Accepted","Sanguisorba  minor  ",TRUE
